data-meta-instanceID,data-Site_ID,data-Lat_Long,data-Lat_Long-altitude,data-Lat_Long-accuracy,data-Site_Description,data-Plot_Size,data-Replicate,data-Date,data-Weather_clouds,data-Weather_wind,data-Observer,data-Name_of_Observer,data-Start_time,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,data-Time_of_exiting_1Ha,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,data-Time_of_exiting_4Ha,KEY
uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b,BDD930,"10.2154895,77.2388413",1555.832537,7.666,Chilantiyer karuppaswami temple,1hectare,2,13/04/21,Sunny,Low,Other,Ritika,09:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,09:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,09:30,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b
uuid:ac17cf44-72b6-404f-8f64-d62591713f03,BCZ931,"10.2190326,77.2396616",1589.190167,6.333,Magic valley,1hectare,2,13/04/21,Sunny,Medium,Other,Ritika,10:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,10:25,uuid:ac17cf44-72b6-404f-8f64-d62591713f03
uuid:91b43285-16a5-4aa5-a559-d1a0685f99f7,Bcz 931,"10.2190089,77.2396477",1602.807603,7.6,Near Magic valley,1hectare,3,13/04/21,Overcast,Low,Other,Ritika,17:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,17:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,18:00,uuid:91b43285-16a5-4aa5-a559-d1a0685f99f7
uuid:65f9359e-47c1-4b02-b40c-a265efc051c1,BCZ931,"10.2190955,77.2396896",1568.957524,9.6,Near Magic valley,1hectare,4,15/04/21,Partially_cloudy,Medium,Other,Ritika,12:15,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,12:25,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:65f9359e-47c1-4b02-b40c-a265efc051c1
uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0,BDD930,"10.2150851,77.2394235",1582.976903,28,Chilanthiyer karuppaswami temple,1hectare,3,13/04/21,Overcast,Low,Other,Ritika,16:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,16:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,17:00,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0
uuid:81c57843-3e07-45f3-8e52-82286ce9725b,BDD930,"10.2155145,77.2388235",1544.417234,6,NearChilanthiyer karuppaswami temple,1hectare,4,15/04/21,Partially_cloudy,Low,Other,Ritika,11:20,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,11:33,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,11:48,uuid:81c57843-3e07-45f3-8e52-82286ce9725b
uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875,BDZ967,"10.1956597,77.2722047",2219.602172,13.333,Near Tamil Nadu /kerala border,4hectare,3,17/04/21,Partially_cloudy,Low,Other,Rahul,09:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,09:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,10:00,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875
uuid:ef89f75f-bdb1-4b00-b5c3-f2641b66112f,BDZ967,"10.1953264,77.2724915",2265.477367,12.8,Near Tamil Nadu / Kerala border,4hectare,4,17/04/21,Partially_cloudy,Medium,Other,Rahul,15:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,15:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,15:56,uuid:ef89f75f-bdb1-4b00-b5c3-f2641b66112f
uuid:5d693c3f-e9e1-45ff-9ec8-24139e8b9416,BEJ870,"10.1870415,77.183428",1780.386737,13.6,Near anamudi Check post,4hectare,1,21/04/21,Partially_cloudy,Low,Other,Rahul,12:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,12:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,12:30,uuid:5d693c3f-e9e1-45ff-9ec8-24139e8b9416
uuid:15340d6d-8c4b-4962-a205-84a23387351a,BFJ976,"10.1627279,77.2803279",2167.008535,7.666,Near vandavaru peak,4hectare,1,27/04/21,Sunny,Medium,Other,Rahul,09:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,09:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,10:00,uuid:15340d6d-8c4b-4962-a205-84a23387351a
uuid:a6eae807-a6b4-4c9a-9ce2-767704a30fc4,BFJ976,"10.1625811,77.2802518",2164.464299,8.666,3rd plot from vandavaru peak,4hectare,2,27/04/21,Partially_cloudy,Medium,Other,Rahul,17:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,17:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,17:30,uuid:a6eae807-a6b4-4c9a-9ce2-767704a30fc4
uuid:35e5514b-fcb0-44e9-8fa1-699689b81fe3,BFJ976,"10.1627048,77.2804754",2163.915121,6.8,5th plot banthar near vandavaru peak,4hectare,3,29/04/21,Partially_cloudy,Medium,Other,Rahul,10:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,10:30,uuid:35e5514b-fcb0-44e9-8fa1-699689b81fe3
uuid:47c3d196-07ad-47c1-a5c3-28667c3b6734,BFJ976,"10.1626957,77.2803213",2141.794951,8.8,"5th plot banthar, near vandavaru peak",4hectare,4,29/04/21,Partially_cloudy,Medium,Other,Rahul,15:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,15:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,16:00,uuid:47c3d196-07ad-47c1-a5c3-28667c3b6734
uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,BGA971,"10.1474623,77.2760767",2308.596051,7.6,Near vandavaru peak,4hectare,1,28/04/21,Sunny,Medium,Other,Rahul,09:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,09:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,09:30,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7
uuid:18e19174-44a7-434e-a703-7905551276c5,BGA971,"10.1474708,77.2761232",2322.353057,6.666,"Near vandavaru, 2nd plot.",4hectare,2,28/04/21,Sunny,Medium,Other,Rahul,16:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,16:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,16:30,uuid:18e19174-44a7-434e-a703-7905551276c5
uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5,BGA971,"10.147603,77.2760002",2317.549806,7.333,"Near vandavaru peak, 2nd plot",4hectare,3,29/04/21,Partially_cloudy,Medium,Other,Rahul,08:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,08:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,08:30,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5
uuid:c89699a9-5f42-43de-978f-2c41ddd52689,BGH965,"10.1412955,77.270699",2275.938302,8,Banthar near watchtower,1hectare,1,26/04/21,Partially_cloudy,Medium,Other,Rahul,16:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,16:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,16:30,uuid:c89699a9-5f42-43de-978f-2c41ddd52689
uuid:3fe21a62-6cbe-4de9-8004-61c26d240fc0,BFG941,"10.1473347,77.2762044",2349.994639,6,"Near vandavaru peak, 2nd plot",4hectare,4,30/04/21,Partially_cloudy,Medium,Other,Rahul,09:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,09:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,10:00,uuid:3fe21a62-6cbe-4de9-8004-61c26d240fc0
uuid:08f04df2-d5f1-484c-b4dd-9239a8925868,BGH965,"10.1413788,77.2708065",1994.568208,8,"Near watch tower, near banthar",1hectare,2,28/04/21,Partially_cloudy,Medium,Other,Rahul,14:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,14:10,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,02:30,uuid:08f04df2-d5f1-484c-b4dd-9239a8925868
uuid:db13ac56-6316-4565-b1da-1319b4097877,BGH965,"10.1412327,77.2707478",2269.944405,8.666,"Near watch tower, banthar",4hectare,3,29/04/21,Partially_cloudy,Low,Other,Rahul,16:45,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,16:55,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,17:15,uuid:db13ac56-6316-4565-b1da-1319b4097877
uuid:0aa3a81b-62d6-47be-b7b3-126a57ab1098,BHJ945,"10.116022,77.2518826",1729.487971,7.2,"Top-station, grassland+shola",1hectare,4,18/04/21,Partially_cloudy,Low,Other,Roshan,11:06,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,11:16,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:0aa3a81b-62d6-47be-b7b3-126a57ab1098
uuid:18dda9df-3254-4a21-818e-eb965e1623e5,BGH965,"10.1412652,77.270819",2310.537412,3.9,"Near watch tower, banthar",4hectare,4,30/04/21,Sunny,Low,Other,Rahul,08:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,08:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,09:00,uuid:18dda9df-3254-4a21-818e-eb965e1623e5
uuid:16613766-afb7-46f1-834a-179727888763,BHG 797,"10.1191921,77.116873",1721.499234,4.806,"Mattupetti, eucalyptus",1hectare,3,18/04/21,Partially_cloudy,Low,Other,Shubham,11:17,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,11:27,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,11:38,uuid:16613766-afb7-46f1-834a-179727888763
uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b,BHC806,"10.1228706,77.1250356",1657.335624,4.524,Mattupetti RD estate,1hectare,3,18/04/21,Overcast,Medium,Other,Shubham,14:02,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,14:12,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,14:24,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b
uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb,BHC806,"10.1228028,77.1250249",1661.017587,4.63,Mattupetti RD estate eucalyptus,1hectare,4,19/04/21,Sunny,Medium,Other,Shubham,11:27,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,11:37,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,11:47,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb
uuid:3312fab9-5851-4613-9f70-c368e4a95bdc,BHG 797,"10.1187181,77.116453",1673.886677,3.599,Mattupetti eucalyptus,1hectare,4,19/04/21,Partially_cloudy,Medium,Other,Shubham,12:46,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,12:57,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,13:06,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc
uuid:e9639978-938b-491c-9a93-39b7c0b2aa20,BIR786,"10.0860249,77.1066477",1406.623036,4.398,Mattupetti,1hectare,4,19/04/21,Partially_cloudy,Medium,Other,Shubham,14:06,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,14:16,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20
uuid:dc048902-fbd8-49e2-bbcd-b442c060838f,BFF977,"10.1663595,77.2813644",2240.463779,5,Near Bandar peak,1hectare,1,27/04/21,Partially_cloudy,Low,Other,Ritika,11:00,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,11:20,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:dc048902-fbd8-49e2-bbcd-b442c060838f
uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380,BFF977,"10.1664257,77.2814072",2257.378121,4.591,Near Bandar peak,1hectare,2,27/04/21,Partially_cloudy,Low,Other,Ritika,16:15,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,16:20,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:5d007f77-f6e7-4402-8715-5bbd3b1d9380
uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74,BFF977,"10.1663401,77.2813267",2254.318758,4.8,Near Bandar peak,1hectare,3,29/04/21,Partially_cloudy,Low,Other,Ritika,10:30,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:40,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:681b1ea5-a6c3-4cbd-afb7-fbe81a331c74
uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4,BFF977,"10.166471,77.2815287",2255.950325,4.88,Near Bandar peak,1hectare,4,29/04/21,Overcast,High,Other,Ritika,16:40,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,16:30,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:48b8eb95-a146-4b3d-8e6a-9eba4eba76d4
uuid:3ff77ee1-a311-4e63-950d-27cc4101764b,BFB764,"10.1715113,77.0873611",1777.962364,4.433,"Vagavurrai top division, eucalyptus",4hectare,1,22/04/21,Partially_cloudy,Medium,Other,Manav,13:50,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,13:59,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,14:10,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b
uuid:18f6a90c-e238-46dc-a829-d598a41ae780,BFB764,"10.1709124,77.0873905",1773.4338,4.902,"Vagavurrai top division, eucalyptus, rocky terrain",4hectare,2,23/04/21,Sunny,High,Other,Manav,10:33,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:43,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,10:55,uuid:18f6a90c-e238-46dc-a829-d598a41ae780
uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae,BFZ787,"10.1493171,77.1081191",1465.183888,4.791,"Roadside eucalyptus plantation, near 8th mile",4hectare,4,01/05/21,Partially_cloudy,Low,Other,Manav,10:44,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:54,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,11:09,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae
uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe,BHL895,"10.1144369,77.2066111",1915.807684,4.844,"Near cloudfarm, yellappetti, shola",1hectare,1,14/04/21,Overcast,Medium,Other,Manav,10:16,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:28,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:9a223b18-e2d2-49e6-952a-84f5deaeabfe
uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5,BHL895,"10.114395,77.2062727",1841.735877,7.536,"Near camp footprints, shola",1hectare,2,14/04/21,Overcast,Medium,Other,Krishna Priya,16:17,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,16:29,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:855d9069-9c6e-472c-a24f-4ffec3d9e0a5
uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2,BGS746,"10.1325309,77.0703784",1684.029154,4.501,"Southwestern end of kannimala, eucalyptus plantation",1hectare,1,30/04/21,Sunny,Low,Other,Manav,10:17,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:30,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:93ceeee6-010a-480b-8150-5d1349ac1ca2
uuid:1307182e-ddc1-4e01-b3a2-598e15973588,BIS646,"10.0859384,76.9787204",1375.384956,3.784,Kallar estate shola 1,4hectare,3,28/04/21,Partially_cloudy,Low,Other,Anas,10:52,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,11:12,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,11:35,uuid:1307182e-ddc1-4e01-b3a2-598e15973588
uuid:367053b3-a81d-4206-9b4d-150efbdb9032,BIM 638,"10.0911322,76.9716234",1449.80695,4.486,Kallar estate shola,4hectare,3,28/04/21,Partially_cloudy,Low,Other,Anas,13:04,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,13:17,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,13:22,uuid:367053b3-a81d-4206-9b4d-150efbdb9032
uuid:6487053e-940b-4065-ac13-84e01f5781ea,BHY 708,"10.1034539,77.0359138",1672.787565,4.923,Near school,1hectare,1,29/04/21,Sunny,Low,Other,Anas,10:53,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:59,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:6487053e-940b-4065-ac13-84e01f5781ea
uuid:6de39404-59c3-40de-bada-3a54fbea1a72,BID 721,"10.0990579,77.0476625",1540.020648,4.309,Tea museum shola-Euc,1hectare,2,29/04/21,Sunny,Low,Other,Anas,13:04,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,13:16,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:6de39404-59c3-40de-bada-3a54fbea1a72
uuid:ebe98f54-d57c-43ed-8ba7-a62433417385,BHY 708,"10.1031323,77.0360069",1638.030514,4.565,Near school,1hectare,2,30/04/21,Sunny,Low,Other,Anas,10:39,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:50,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:ebe98f54-d57c-43ed-8ba7-a62433417385
uuid:e08f243a-3c09-446c-806d-1b75c29980e3,BID 721,"10.0990881,77.0476735",1532.252853,4.325,Tea fac,1hectare,3,30/04/21,Partially_cloudy,Medium,Other,Anas,11:01,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,11:14,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:e08f243a-3c09-446c-806d-1b75c29980e3
uuid:95fc0907-78ab-469c-9478-900adc1fcda8,NN54,"11.1978176,76.4445168",1992.154456,4.959,Sispara  1st,1hectare,1,22/03/21,Partially_cloudy,Low,Other,Anas,09:45,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,09:55,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:95fc0907-78ab-469c-9478-900adc1fcda8
uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474,BGL 711,"10.1386897,77.038608",1540.781474,5.53,Tea plantation shola,4hectare,1,19/04/21,Sunny,Low,Other,Anas,09:48,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,11:00,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,11:24,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474
uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301,BGQ697,"10.1343175,77.0256731",1410.118811,4.421,Tea plantation shola,1hectare,2,20/04/21,Partially_cloudy,Low,Other,Anas,09:57,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:12,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:b33ec3bc-1c28-4c45-8de2-e0d7d8554301
uuid:1a19cc62-cca8-4341-9714-0b9b5b548458,BGO 694,"10.1366224,77.0229843",1413.14872,4.389,Tea estate shola-euc,1hectare,2,20/04/21,Overcast,Low,Other,Anas,10:49,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:58,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data, ,uuid:1a19cc62-cca8-4341-9714-0b9b5b548458
uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,BGL711,"10.1388466,77.0388718",1525.12199,4.771,Tea estate valley shola,4hectare,2,20/04/21,Partially_cloudy,Low,Other,Anas,10:25,data-Bird_data,data-Squirrel_data,data-Extra_Bird_data_1ha,10:44,data-Bird_data_4ha,data-Squirrel_data_4ha,data-Extra_Bird_data,11:05,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2