data-Bird_data_4ha-Select_bird_4ha,data-Bird_data_4ha-Count_4ha,PARENT_KEY,KEY
PYJO,3,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b/Bird_data_4ha[1]
POHO,1,uuid:ac17cf44-72b6-404f-8f64-d62591713f03,uuid:ac17cf44-72b6-404f-8f64-d62591713f03/Bird_data_4ha[1]
PYJO,1,uuid:ac17cf44-72b6-404f-8f64-d62591713f03,uuid:ac17cf44-72b6-404f-8f64-d62591713f03/Bird_data_4ha[2]
PYJO, ,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0/Bird_data_4ha[1]
PYJO, ,uuid:81c57843-3e07-45f3-8e52-82286ce9725b,uuid:81c57843-3e07-45f3-8e52-82286ce9725b/Bird_data_4ha[1]
 , ,uuid:16613766-afb7-46f1-834a-179727888763,uuid:16613766-afb7-46f1-834a-179727888763/Bird_data_4ha[1]
PYJO,2,uuid:16613766-afb7-46f1-834a-179727888763,uuid:16613766-afb7-46f1-834a-179727888763/Bird_data_4ha[2]
PYJO,2,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b/Bird_data_4ha[1]
POHO,2,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b/Bird_data_4ha[2]
POHO,2,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb/Bird_data_4ha[1]
PYJO,2,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb/Bird_data_4ha[2]
PYJO,1,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc/Bird_data_4ha[1]
POHO,3,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc/Bird_data_4ha[2]
POHO,3,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b,uuid:3ff77ee1-a311-4e63-950d-27cc4101764b/Bird_data_4ha[1]
POHO,2,uuid:18f6a90c-e238-46dc-a829-d598a41ae780,uuid:18f6a90c-e238-46dc-a829-d598a41ae780/Bird_data_4ha[1]
PYJO,1,uuid:18f6a90c-e238-46dc-a829-d598a41ae780,uuid:18f6a90c-e238-46dc-a829-d598a41ae780/Bird_data_4ha[2]
PYJO,4,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae,uuid:d1eb177d-bbea-4ee6-bdd3-4dee66c203ae/Bird_data_4ha[1]
POHO,2,uuid:1307182e-ddc1-4e01-b3a2-598e15973588,uuid:1307182e-ddc1-4e01-b3a2-598e15973588/Bird_data_4ha[1]
NA, ,uuid:367053b3-a81d-4206-9b4d-150efbdb9032,uuid:367053b3-a81d-4206-9b4d-150efbdb9032/Bird_data_4ha[1]
NA,0,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474,uuid:9d605d97-2a22-4ccf-bfc5-bfd8cfeef474/Bird_data_4ha[1]
NA,0,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2,uuid:6a682a7b-7f46-4e62-9128-abb2b2af2cc2/Bird_data_4ha[1]